0,0.5,0.5,113,167,77,142,185,113,ocean
1,0.8,0.4,119,171,47,145,189,89,plains
2,2,0,174,164,42,191,183,85,desert
3,0.2,0.3,109,163,107,138,182,137,extreme hills
4,0.7,0.8,89,174,48,121,192,90,forest
5,0.25,0.8,104,164,100,134,183,131,taiga
6,0.8,0.9,69,180,33,106,196,78,swampland
7,0.5,0.5,113,167,77,142,185,113,river
8,2,0,174,164,42,191,183,85,nether
9,0.5,0.5,113,167,77,142,185,113,end
10,0,0.5,96,161,123,128,180,151,frozen ocean
11,0,0.5,96,161,123,128,180,151,frozen river
12,0,0.5,96,161,123,128,180,151,ice plains
13,0,0.5,96,161,123,128,180,151,ice mountains
14,0.9,1,43,187,15,85,201,63,mushroom island
15,0.9,1,43,187,15,85,201,63,mushroom island shore
16,0.8,0.4,119,171,47,145,189,89,beach
17,2,0,174,164,42,191,183,85,desert hills
18,0.7,0.8,89,174,48,121,192,90,forest hills
19,0.25,0.8,104,164,100,134,183,131,taiga hills
20,0.2,0.3,109,163,107,138,182,137,extreme hills edge
21,0.95,0.9,48,187,11,89,201,60,jungle
22,0.95,0.9,48,187,11,89,201,60,jungle hills
23,0.95,0.8,62,184,15,100,199,63,jungle edge
24,0.5,0.5,113,167,77,142,185,113,deep ocean
25,0.2,0.3,109,163,107,138,182,137,stone beach
26,0.05,0.3,100,162,120,131,181,147,cold beach
27,0.6,0.6,107,169,65,136,187,103,birch forest
28,0.6,0.6,107,169,65,136,187,103,birch forest hills
29,0.7,0.8,89,174,48,121,192,90,roofed forest
30,-0.5,0.4,96,161,123,128,180,151,cold taiga
31,-0.5,0.4,96,161,123,128,180,151,cold taiga hills
32,0.3,0.8,104,165,95,134,184,127,mega taiga
33,0.3,0.8,104,165,95,134,184,127,mega taiga hills
34,0.2,0.3,109,163,107,138,182,137,extreme hills+
35,1.2,0,174,164,42,191,183,85,savanna
36,1.2,0,174,164,42,191,183,85,savanna plateau
37,2,0,174,164,42,191,183,85,mesa
38,2,0,174,164,42,191,183,85,mesa plateau f
39,2,0,174,164,42,191,183,85,mesa plateau
129,0.8,0.4,119,171,47,145,189,89,sunflower plains
130,2,0,174,164,42,191,183,85,desert m
131,0.2,0.3,109,163,107,138,182,137,extreme hills m
132,0.7,0.8,89,174,48,121,192,90,flower forest
133,0.25,0.8,104,164,100,134,183,131,taiga m
134,0.8,0.9,69,180,33,106,196,78,swampland m
140,0,0.5,96,161,123,128,180,151,ice plains spikes
149,0.95,0.9,48,187,11,89,201,60,jungle m
151,0.95,0.9,48,187,11,89,201,60,jungle edge m
155,0.6,0.6,107,169,65,136,187,103,birch forest m
156,0.6,0.6,107,169,65,136,187,103,birch forest hills m
157,0.7,0.8,89,174,48,121,192,90,roofed forest m
158,-0.5,0.4,96,161,123,128,180,151,cold taiga m
160,0.25,0.8,104,164,100,134,183,131,mega spruce taiga
161,0.25,0.8,104,164,100,134,183,131,redwood taiga hills m
162,0.2,0.3,109,163,107,138,182,137,extreme hills+ m
163,1.2,0,174,164,42,191,183,85,savanna m
164,1.2,0,174,164,42,191,183,85,savanna plateau m
165,2,0,174,164,42,191,183,85,mesa (bryce)
166,2,0,174,164,42,191,183,85,mesa plateau f m
167,2,0,174,164,42,191,183,85,mesa plateau m
